company_id	ticker	canonical_input	taxonomy_namespace	taxonomy_concept	disposition	accounting_perimeter	observed_records	active_annual_sources	source_forms	reason_code	professional_review_status
sec-cik:0001652044	GOOGL	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	90	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0001652044	GOOGL	total_liabilities	us-gaap	Liabilities	canonical	consolidated_periodic_filing	84	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0001730168	AVGO	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	77	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0001730168	AVGO	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	32	1	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0001730168	AVGO	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	77	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0001730168	AVGO	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	143	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0001730168	AVGO	revenue	us-gaap	RevenueFromContractWithCustomerExcludingAssessedTax	canonical	consolidated_periodic_filing	124	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0001730168	AVGO	revenue	us-gaap	Revenues	rejected	unreviewed	19	0	10-K,10-Q	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0001730168	AVGO	revenue	us-gaap	SalesRevenueNet	rejected	unreviewed	4	0	10-Q	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0001730168	AVGO	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	16	0	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0001730168	AVGO	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	68	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0001730168	AVGO	total_liabilities	us-gaap	Liabilities	canonical	consolidated_periodic_filing	68	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
